Station Name,Sample Code,Collection Date,Analyte,Result,Rpt Limit,Units,Parent Sample
B9S80231523,EL0319B0056,3/14/2019 9:04,Dissolved Nitrate + Nitrite,0.38,0.05,mg/L as N,0
B9S80231523,EL0319B0056,3/14/2019 9:04,Dissolved Organic Carbon,3.5,0.5,mg/L as C,0
B9S80231523,EL0319B0056,3/14/2019 9:04,Total Organic Carbon,3.5,0.5,mg/L as C,0
B9S80231523,EL0319B0056,3/14/2019 9:04,Dissolved Ortho-phosphate,0.075,0.05,mg/L as P,0
B9S80231523,EL0319B0056,3/14/2019 9:04,Pheophytin a,0.52,0.5,µg/L,0
B9S80231523,EL0319B0056,3/14/2019 9:04,Total Phosphorus,0.078,0.01,mg/L as P,0
B9S80231523,EL0319B0056,3/14/2019 9:04,Total Kjeldahl Nitrogen,0.4,0.1,mg/L as N,0
B9S80231523,EL0319B0056,3/14/2019 9:04,Field Specific Conductance,197.6,1,uS/cm@25degC,0
E3S80462005,EL0319B0061,3/14/2019 9:24,Chlorophyll a,1.98,0.5,µg/L,0
E3S80462005,EL0319B0061,3/14/2019 9:24,Dissolved Nitrate + Nitrite,0.24,0.05,mg/L as N,0
E3S80462005,EL0319B0061,3/14/2019 9:24,Dissolved Organic Carbon,3.1,0.5,mg/L as C,0
E3S80462005,EL0319B0061,3/14/2019 9:24,Total Organic Carbon,3.1,0.5,mg/L as C,0
E3S80462005,EL0319B0061,3/14/2019 9:24,Dissolved Ortho-phosphate,0.08,0.05,mg/L as P,0
E3S80462005,EL0319B0061,3/14/2019 9:24,Pheophytin a,0.59,0.5,µg/L,0
E3S80462005,EL0319B0061,3/14/2019 9:24,Total Phosphorus,0.09,0.01,mg/L as P,0
E3S80462005,EL0319B0061,3/14/2019 9:24,Total Kjeldahl Nitrogen,0.314,0.1,mg/L as N,0
E3S80462005,EL0319B0061,3/14/2019 9:24,Field Specific Conductance,222.2,1,uS/cm@25degC,0
E3S80212052,EL0319B0064,3/14/2019 10:15,Chlorophyll a,1.39,0.5,µg/L,0
E3S80212052,EL0319B0064,3/14/2019 10:15,Dissolved Nitrate + Nitrite,0.63,0.05,mg/L as N,0
E3S80212052,EL0319B0064,3/14/2019 10:15,Dissolved Organic Carbon,5.1,0.5,mg/L as C,0
E3S80212052,EL0319B0064,3/14/2019 10:15,Total Organic Carbon,5.1,0.5,mg/L as C,0
E3S80212052,EL0319B0064,3/14/2019 10:15,Dissolved Ortho-phosphate,0.129,0.05,mg/L as P,0
E3S80212052,EL0319B0064,3/14/2019 10:15,Pheophytin a,0.82,0.5,µg/L,0
E3S80212052,EL0319B0064,3/14/2019 10:15,Total Phosphorus,0.13,0.01,mg/L as P,0
E3S80212052,EL0319B0064,3/14/2019 10:15,Total Kjeldahl Nitrogen,0.4,0.1,mg/L as N,0
E3S80212052,EL0319B0064,3/14/2019 10:15,Field Specific Conductance,1246,1,uS/cm@25degC,0
E3S81031544,EL0319B0049,3/14/2019 10:40,Chlorophyll a,7.8,0.5,µg/L,0
E3S81031544,EL0319B0049,3/14/2019 10:40,Dissolved Nitrate + Nitrite,0.26,0.05,mg/L as N,0
E3S81031544,EL0319B0049,3/14/2019 10:40,Dissolved Organic Carbon,8,0.5,mg/L as C,0
E3S81031544,EL0319B0049,3/14/2019 10:40,Total Organic Carbon,7.4,0.5,mg/L as C,0
E3S81031544,EL0319B0049,3/14/2019 10:40,Dissolved Ortho-phosphate,0.09,0.05,mg/L as P,0
E3S81031544,EL0319B0049,3/14/2019 10:40,Pheophytin a,4.45,0.5,µg/L,0
E3S81031544,EL0319B0049,3/14/2019 10:40,Total Phosphorus,0.2,0.01,mg/L as P,0
E3S81031544,EL0319B0049,3/14/2019 10:40,Total Kjeldahl Nitrogen,0.9,0.1,mg/L as N,0
E3S81031544,EL0319B0049,3/14/2019 10:40,Field Specific Conductance,730,1,uS/cm@25degC,0
E3S81051544,EL0319B0050,3/14/2019 11:15,Chlorophyll a,4.5,0.5,µg/L,0
E3S81051544,EL0319B0050,3/14/2019 11:15,Dissolved Nitrate + Nitrite,0.27,0.05,mg/L as N,0
E3S81051544,EL0319B0050,3/14/2019 11:15,Dissolved Organic Carbon,5.8,0.5,mg/L as C,0
E3S81051544,EL0319B0050,3/14/2019 11:15,Dissolved Organic Carbon,5.8,0.5,mg/L as C,0
E3S81051544,EL0319B0050,3/14/2019 11:15,Total Organic Carbon,5.4,0.5,mg/L as C,0
E3S81051544,EL0319B0050,3/14/2019 11:15,Total Organic Carbon,5.5,0.5,mg/L as C,0
E3S81051544,EL0319B0050,3/14/2019 11:15,Dissolved Ortho-phosphate,0.084,0.05,mg/L as P,0
E3S81051544,EL0319B0050,3/14/2019 11:15,Pheophytin a,4.02,0.5,µg/L,0
E3S81051544,EL0319B0050,3/14/2019 11:15,Total Phosphorus,0.159,0.01,mg/L as P,0
E3S81051544,EL0319B0050,3/14/2019 11:15,Total Kjeldahl Nitrogen,0.63,0.1,mg/L as N,0
E3S81051544,EL0319B0050,3/14/2019 11:15,Field Specific Conductance,598,1,uS/cm@25degC,0
E3S81071545,EL0319B0051,3/14/2019 12:00,Chlorophyll a,3.96,0.5,µg/L,0
E3S81071545,EL0319B0051,3/14/2019 12:00,Dissolved Nitrate + Nitrite,0.26,0.05,mg/L as N,0
E3S81071545,EL0319B0051,3/14/2019 12:00,Dissolved Organic Carbon,5.5,0.5,mg/L as C,0
E3S81071545,EL0319B0051,3/14/2019 12:00,Total Organic Carbon,5.9,0.5,mg/L as C,0
E3S81071545,EL0319B0051,3/14/2019 12:00,Dissolved Ortho-phosphate,0.082,0.05,mg/L as P,0
E3S81071545,EL0319B0051,3/14/2019 12:00,Pheophytin a,3.79,0.5,µg/L,0
E3S81071545,EL0319B0051,3/14/2019 12:00,Total Phosphorus,0.152,0.01,mg/L as P,0
E3S81071545,EL0319B0051,3/14/2019 12:00,Total Kjeldahl Nitrogen,0.9,0.1,mg/L as N,0
E3S81071545,EL0319B0051,3/14/2019 12:00,Field Specific Conductance,651,1,uS/cm@25degC,0
E3S81071545,EL0319B0055,3/14/2019 12:00,Chlorophyll a,4.21,0.5,µg/L,EL0319B0051
E3S81071545,EL0319B0055,3/14/2019 12:00,Dissolved Nitrate + Nitrite,0.26,0.05,mg/L as N,EL0319B0051
E3S81071545,EL0319B0055,3/14/2019 12:00,Dissolved Organic Carbon,5.7,0.5,mg/L as C,EL0319B0051
E3S81071545,EL0319B0055,3/14/2019 12:00,Total Organic Carbon,5.4,0.5,mg/L as C,EL0319B0051
E3S81071545,EL0319B0055,3/14/2019 12:00,Dissolved Ortho-phosphate,0.08,0.05,mg/L as P,EL0319B0051
E3S81071545,EL0319B0055,3/14/2019 12:00,Pheophytin a,3.87,0.5,µg/L,EL0319B0051
E3S81071545,EL0319B0055,3/14/2019 12:00,Total Phosphorus,0.16,0.01,mg/L as P,EL0319B0051
E3S81071545,EL0319B0055,3/14/2019 12:00,Total Kjeldahl Nitrogen,0.7,0.1,mg/L as N,EL0319B0051
E3S81051561,EL0319B0052,3/14/2019 12:15,Chlorophyll a,3.07,0.5,µg/L,0
E3S81051561,EL0319B0052,3/14/2019 12:15,Dissolved Nitrate + Nitrite,0.28,0.05,mg/L as N,0
E3S81051561,EL0319B0052,3/14/2019 12:15,Dissolved Organic Carbon,5.8,0.5,mg/L as C,0
E3S81051561,EL0319B0052,3/14/2019 12:15,Total Organic Carbon,5.6,0.5,mg/L as C,0
E3S81051561,EL0319B0052,3/14/2019 12:15,Dissolved Ortho-phosphate,0.066,0.05,mg/L as P,0
E3S81051561,EL0319B0052,3/14/2019 12:15,Pheophytin a,3.59,0.5,µg/L,0
E3S81051561,EL0319B0052,3/14/2019 12:15,Total Phosphorus,0.154,0.01,mg/L as P,0
E3S81051561,EL0319B0052,3/14/2019 12:15,Total Kjeldahl Nitrogen,0.7,0.1,mg/L as N,0
E3S81051561,EL0319B0052,3/14/2019 12:15,Field Specific Conductance,1186,1,uS/cm@25degC,0
E3S81041559,EL0319B0053,3/14/2019 12:45,Chlorophyll a,1.75,0.5,µg/L,0
E3S81041559,EL0319B0053,3/14/2019 12:45,Dissolved Nitrate + Nitrite,0.253,0.05,mg/L as N,0
E3S81041559,EL0319B0053,3/14/2019 12:45,Dissolved Organic Carbon,5.2,0.5,mg/L as C,0
E3S81041559,EL0319B0053,3/14/2019 12:45,Total Organic Carbon,5,0.5,mg/L as C,0
E3S81041559,EL0319B0053,3/14/2019 12:45,Dissolved Ortho-phosphate,0.114,0.05,mg/L as P,0
E3S81041559,EL0319B0053,3/14/2019 12:45,Pheophytin a,1.48,0.5,µg/L,0
E3S81041559,EL0319B0053,3/14/2019 12:45,Total Phosphorus,0.17,0.01,mg/L as P,0
E3S81041559,EL0319B0053,3/14/2019 12:45,Total Kjeldahl Nitrogen,0.6,0.1,mg/L as N,0
E3S81041559,EL0319B0053,3/14/2019 12:45,Field Specific Conductance,868,1,uS/cm@25degC,0
B9S80221524,EL0319B0057,3/14/2019 13:22,Chlorophyll a,0.65,0.5,µg/L,0
B9S80221524,EL0319B0057,3/14/2019 13:22,Dissolved Nitrate + Nitrite,0.35,0.05,mg/L as N,0
B9S80221524,EL0319B0057,3/14/2019 13:22,Dissolved Organic Carbon,4.2,0.5,mg/L as C,0
B9S80221524,EL0319B0057,3/14/2019 13:22,Total Organic Carbon,4.2,0.5,mg/L as C,0
B9S80221524,EL0319B0057,3/14/2019 13:22,Dissolved Ortho-phosphate,0.087,0.05,mg/L as P,0
B9S80221524,EL0319B0057,3/14/2019 13:22,Pheophytin a,0.54,0.5,µg/L,0
B9S80221524,EL0319B0057,3/14/2019 13:22,Total Phosphorus,0.09,0.01,mg/L as P,0
B9S80221524,EL0319B0057,3/14/2019 13:22,Total Kjeldahl Nitrogen,0.4,0.1,mg/L as N,0
B9S80221524,EL0319B0057,3/14/2019 13:22,Field Specific Conductance,263.7,1,uS/cm@25degC,0
E3S81041558,EL0319B0054,3/14/2019 13:30,Chlorophyll a,3.95,0.5,µg/L,0
E3S81041558,EL0319B0054,3/14/2019 13:30,Dissolved Nitrate + Nitrite,0.28,0.05,mg/L as N,0
E3S81041558,EL0319B0054,3/14/2019 13:30,Dissolved Organic Carbon,5.7,0.5,mg/L as C,0
E3S81041558,EL0319B0054,3/14/2019 13:30,Total Organic Carbon,5.7,0.5,mg/L as C,0
E3S81041558,EL0319B0054,3/14/2019 13:30,Dissolved Ortho-phosphate,0.067,0.05,mg/L as P,0
E3S81041558,EL0319B0054,3/14/2019 13:30,Pheophytin a,2.38,0.5,µg/L,0
E3S81041558,EL0319B0054,3/14/2019 13:30,Total Phosphorus,0.14,0.01,mg/L as P,0
E3S81041558,EL0319B0054,3/14/2019 13:30,Total Kjeldahl Nitrogen,0.7,0.1,mg/L as N,0
E3S81041558,EL0319B0054,3/14/2019 13:30,Field Specific Conductance,1615,1,uS/cm@25degC,0
E3S811101553,EL0319B0048,3/14/2019 15:05,Chlorophyll a,5.36,0.5,µg/L,0
E3S811101553,EL0319B0048,3/14/2019 15:05,Dissolved Nitrate + Nitrite,0.41,0.05,mg/L as N,0
E3S811101553,EL0319B0048,3/14/2019 15:05,Dissolved Organic Carbon,15.8,0.5,mg/L as C,0
E3S811101553,EL0319B0048,3/14/2019 15:05,Total Organic Carbon,15.8,0.5,mg/L as C,0
E3S811101553,EL0319B0048,3/14/2019 15:05,Dissolved Ortho-phosphate,0.053,0.05,mg/L as P,0
E3S811101553,EL0319B0048,3/14/2019 15:05,Pheophytin a,3.98,0.5,µg/L,0
E3S811101553,EL0319B0048,3/14/2019 15:05,Total Phosphorus,0.23,0.01,mg/L as P,0
E3S811101553,EL0319B0048,3/14/2019 15:05,Total Kjeldahl Nitrogen,1.4,0.1,mg/L as N,0
E3S811101553,EL0319B0048,3/14/2019 15:05,Field Specific Conductance,2342,1,uS/cm@25degC,0
E3S81191549,EL0319B0046,3/14/2019 15:45,Chlorophyll a,3,0.5,µg/L,0
E3S81191549,EL0319B0046,3/14/2019 15:45,Dissolved Nitrate + Nitrite,0.24,0.05,mg/L as N,0
E3S81191549,EL0319B0046,3/14/2019 15:45,Dissolved Organic Carbon,14.4,0.5,mg/L as C,0
E3S81191549,EL0319B0046,3/14/2019 15:45,Total Organic Carbon,14.5,0.5,mg/L as C,0
E3S81191549,EL0319B0046,3/14/2019 15:45,Dissolved Ortho-phosphate,0.073,0.05,mg/L as P,0
E3S81191549,EL0319B0046,3/14/2019 15:45,Pheophytin a,3.13,0.5,µg/L,0
E3S81191549,EL0319B0046,3/14/2019 15:45,Total Phosphorus,0.23,0.01,mg/L as P,0
E3S81191549,EL0319B0046,3/14/2019 15:45,Total Kjeldahl Nitrogen,1.4,0.1,mg/L as N,0
E3S81191549,EL0319B0046,3/14/2019 15:45,Field Specific Conductance,2095,1,uS/cm@25degC,0
E3S811101550,EL0319B0047,3/14/2019 15:45,Chlorophyll a,4.44,0.5,µg/L,0
E3S811101550,EL0319B0047,3/14/2019 15:45,Dissolved Nitrate + Nitrite,0.315,0.05,mg/L as N,0
E3S811101550,EL0319B0047,3/14/2019 15:45,Total Organic Carbon,14.4,0.5,mg/L as C,0
E3S811101550,EL0319B0047,3/14/2019 15:45,Dissolved Organic Carbon,14.3,0.5,mg/L as C,0
E3S811101550,EL0319B0047,3/14/2019 15:45,Dissolved Ortho-phosphate,0.086,0.05,mg/L as P,0
E3S811101550,EL0319B0047,3/14/2019 15:45,Pheophytin a,4.42,0.5,µg/L,0
E3S811101550,EL0319B0047,3/14/2019 15:45,Total Phosphorus,0.24,0.01,mg/L as P,0
E3S811101550,EL0319B0047,3/14/2019 15:45,Total Phosphorus,0.245,0.01,mg/L as P,0
E3S811101550,EL0319B0047,3/14/2019 15:45,Total Kjeldahl Nitrogen,1.4,0.1,mg/L as N,0
E3S811101550,EL0319B0047,3/14/2019 15:45,Total Kjeldahl Nitrogen,1.4,0.1,mg/L as N,0
E3S811101550,EL0319B0047,3/14/2019 15:45,Field Specific Conductance,1899,1,uS/cm@25degC,0
E3S811920110,EL0319B0043,3/15/2019 9:05,Chlorophyll a,7.16,0.5,µg/L,0
E3S811920110,EL0319B0043,3/15/2019 9:05,Dissolved Nitrate + Nitrite,0.52,0.05,mg/L as N,0
E3S811920110,EL0319B0043,3/15/2019 9:05,Dissolved Organic Carbon,5.8,0.5,mg/L as C,0
E3S811920110,EL0319B0043,3/15/2019 9:05,Total Organic Carbon,5.8,0.5,mg/L as C,0
E3S811920110,EL0319B0043,3/15/2019 9:05,Dissolved Ortho-phosphate,0.146,0.05,mg/L as P,0
E3S811920110,EL0319B0043,3/15/2019 9:05,Pheophytin a,2.27,0.5,µg/L,0
E3S811920110,EL0319B0043,3/15/2019 9:05,Total Phosphorus,0.23,0.01,mg/L as P,0
E3S811920110,EL0319B0043,3/15/2019 9:05,Total Kjeldahl Nitrogen,0.7,0.1,mg/L as N,0
E3S811920110,EL0319B0043,3/15/2019 9:05,Field Specific Conductance,1185,1,uS/cm@25degC,0
E3S811720110,EL0319B0045,3/15/2019 9:05,Chlorophyll a,1.7,0.5,µg/L,0
E3S811720110,EL0319B0045,3/15/2019 9:05,Dissolved Nitrate + Nitrite,0.33,0.05,mg/L as N,0
E3S811720110,EL0319B0045,3/15/2019 9:05,Dissolved Organic Carbon,4.9,0.5,mg/L as C,0
E3S811720110,EL0319B0045,3/15/2019 9:05,Total Organic Carbon,4.9,0.5,mg/L as C,0
E3S811720110,EL0319B0045,3/15/2019 9:05,Dissolved Ortho-phosphate,0.096,0.05,mg/L as P,0
E3S811720110,EL0319B0045,3/15/2019 9:05,Pheophytin a,1.73,0.5,µg/L,0
E3S811720110,EL0319B0045,3/15/2019 9:05,Total Phosphorus,0.154,0.01,mg/L as P,0
E3S811720110,EL0319B0045,3/15/2019 9:05,Total Kjeldahl Nitrogen,0.6,0.1,mg/L as N,0
E3S811720110,EL0319B0045,3/15/2019 9:05,Field Specific Conductance,834,1,uS/cm@25degC,0
E3S81182017,EL0319B0044,3/15/2019 10:45,Chlorophyll a,2.54,0.5,µg/L,0
E3S81182017,EL0319B0044,3/15/2019 10:45,Dissolved Nitrate + Nitrite,0.442,0.05,mg/L as N,0
E3S81182017,EL0319B0044,3/15/2019 10:45,Dissolved Organic Carbon,5.7,0.5,mg/L as C,0
E3S81182017,EL0319B0044,3/15/2019 10:45,Total Organic Carbon,5.7,0.5,mg/L as C,0
E3S81182017,EL0319B0044,3/15/2019 10:45,Dissolved Ortho-phosphate,0.126,0.05,mg/L as P,0
E3S81182017,EL0319B0044,3/15/2019 10:45,Pheophytin a,2.07,0.5,µg/L,0
E3S81182017,EL0319B0044,3/15/2019 10:45,Total Phosphorus,0.2,0.01,mg/L as P,0
E3S81182017,EL0319B0044,3/15/2019 10:45,Total Kjeldahl Nitrogen,0.7,0.1,mg/L as N,0
E3S81182017,EL0319B0044,3/15/2019 10:45,Field Specific Conductance,1318,1,uS/cm@25degC,0
Blank; Equipment (ID:47718,EL0319B0067,3/15/2019 12:00,Chlorophyll a,< R.L.,0.5,µg/L,0
Blank; Equipment (ID:47718,EL0319B0067,3/15/2019 12:00,Dissolved Nitrate + Nitrite,< R.L.,0.05,mg/L as N,0
Blank; Equipment (ID:47718,EL0319B0067,3/15/2019 12:00,Dissolved Organic Carbon,< R.L.,0.5,mg/L as C,0
Blank; Equipment (ID:47718,EL0319B0067,3/15/2019 12:00,Total Organic Carbon,< R.L.,0.5,mg/L as C,0
Blank; Equipment (ID:47718,EL0319B0067,3/15/2019 12:00,Dissolved Ortho-phosphate,< R.L.,0.05,mg/L as P,0
Blank; Equipment (ID:47718,EL0319B0067,3/15/2019 12:00,Pheophytin a,< R.L.,0.5,µg/L,0
Blank; Equipment (ID:47718,EL0319B0067,3/15/2019 12:00,Total Phosphorus,< R.L.,0.01,mg/L as P,0
Blank; Equipment (ID:47718,EL0319B0067,3/15/2019 12:00,Total Kjeldahl Nitrogen,< R.L.,0.1,mg/L as N,0
E3S81071545,EL0319B0076,3/19/2019 1:00,Chlorophyll a,2.33,0.5,µg/L,0
E3S81071545,EL0319B0076,3/19/2019 1:00,Dissolved Nitrate + Nitrite,0.27,0.05,mg/L as N,0
E3S81071545,EL0319B0076,3/19/2019 1:00,Dissolved Organic Carbon,3.9,0.5,mg/L as C,0
E3S81071545,EL0319B0076,3/19/2019 1:00,Total Organic Carbon,3.9,0.5,mg/L as C,0
E3S81071545,EL0319B0076,3/19/2019 1:00,Dissolved Ortho-phosphate,0.064,0.05,mg/L as P,0
E3S81071545,EL0319B0076,3/19/2019 1:00,Pheophytin a,3.65,0.5,µg/L,0
E3S81071545,EL0319B0076,3/19/2019 1:00,Total Phosphorus,0.125,0.01,mg/L as P,0
E3S81071545,EL0319B0076,3/19/2019 1:00,Total Kjeldahl Nitrogen,0.5,0.1,mg/L as N,0
E3S81071545,EL0319B0076,3/19/2019 1:00,Field Specific Conductance,731,1,uS/cm@25degC,0
E3S81051561,EL0319B0077,3/19/2019 9:30,Chlorophyll a,1.72,0.5,µg/L,0
E3S81051561,EL0319B0077,3/19/2019 9:30,Dissolved Nitrate + Nitrite,0.28,0.05,mg/L as N,0
E3S81051561,EL0319B0077,3/19/2019 9:30,Dissolved Organic Carbon,4.4,0.5,mg/L as C,0
E3S81051561,EL0319B0077,3/19/2019 9:30,Total Organic Carbon,4.4,0.5,mg/L as C,0
E3S81051561,EL0319B0077,3/19/2019 9:30,Dissolved Ortho-phosphate,0.071,0.05,mg/L as P,0
E3S81051561,EL0319B0077,3/19/2019 9:30,Pheophytin a,2.33,0.5,µg/L,0
E3S81051561,EL0319B0077,3/19/2019 9:30,Total Phosphorus,0.15,0.01,mg/L as P,0
E3S81051561,EL0319B0077,3/19/2019 9:30,Total Kjeldahl Nitrogen,0.5,0.1,mg/L as N,0
E3S81051561,EL0319B0077,3/19/2019 9:30,Field Specific Conductance,604,1,uS/cm@25degC,0
E3S81041559,EL0319B0078,3/19/2019 9:40,Chlorophyll a,1.62,0.5,µg/L,0
E3S81041559,EL0319B0078,3/19/2019 9:40,Dissolved Nitrate + Nitrite,0.28,0.05,mg/L as N,0
E3S81041559,EL0319B0078,3/19/2019 9:40,Dissolved Organic Carbon,4.2,0.5,mg/L as C,0
E3S81041559,EL0319B0078,3/19/2019 9:40,Total Organic Carbon,4.2,0.5,mg/L as C,0
E3S81041559,EL0319B0078,3/19/2019 9:40,Dissolved Ortho-phosphate,0.07,0.05,mg/L as P,0
E3S81041559,EL0319B0078,3/19/2019 9:40,Pheophytin a,1.15,0.5,µg/L,0
