"","SubRegion","Month","Year","Microcystis","Secchi","DissNitrateNitrite","DissAmmonia","pH","Chl","Conductivity","Temperature","DissolvedOxygen","TurbidityNTU","TKN","TON","Salinity","DissOrthophos","TotPhos"
"14","Carquinez Strait",2,2017,1,20,0.346998475,0.0647636275,7.48333333333333,2.964,202,11.662,9.88,NA,0.366666666666667,NA,0.169059512033245,0.06767726,0.1
"15","Carquinez Strait",2,2018,1,76,0.50732862,0.151340656666667,7.84,2.196,26144.5,12.96,8.932,NA,0.35,NA,12.7558505296046,0.079145,0.085
"16","Carquinez Strait",2,2019,1,16,0.439011484,0.09458749,7.73,1.98857142857143,1571,9.55857142857143,10.1157142857143,NA,0.61075,NA,0.513857696776667,0.07424804,0.17425
"17","Carquinez Strait",2,2020,1,68,0.44635647,0.160313476666667,7.77,2.4,28067,11.782,9.478,NA,0.44,NA,12.6749062819834,0.0795579866666667,0.117
"18","Carquinez Strait",2,2022,1,52,0.45,0.101,7.835,2.516,30542,11.974,9.504,NA,0.3005,NA,15.3845123670553,0.085,0.097
"19","Carquinez Strait",3,2016,1,37,0.4370184,0.13698846,7.9,2.9,12652.75,14.3742857142857,8.66,NA,NA,NA,6.51621153240513,0.06752332,NA
"20","Carquinez Strait",3,2017,1,31.2,0.3204964825,0.0699949925,7.71,3.86333333333333,1097,13.78625,9.795,NA,0.366666666666667,NA,0.724401134440752,0.057312165,0.0833333333333333
"21","Carquinez Strait",3,2018,1,37,0.456344803333333,0.122319483333333,7.9,2.464,16655.75,13.0971428571429,9.066,NA,0.4,NA,12.8164073122741,0.0789385066666667,0.095
"22","Carquinez Strait",3,2019,1,26.5,0.298980466666667,0.0780039966666667,7.755,3.724,3950,13.2242857142857,9.448,NA,0.254,NA,1.48018049834455,0.06925994,0.095
"23","Carquinez Strait",3,2020,1,53.6666666666667,0.455,0.16,7.79,1.35,25469.3333333333,13.1266666666667,8.59,NA,0.39,NA,15.5775132017547,0.0705,0.125
"24","Carquinez Strait",3,2021,1,88.3333333333333,0.432,0.121,7.925,2.69,27962.6666666667,12.52,8.95,NA,0.308,NA,17.2126209933345,0.085,0.0795
"25","Carquinez Strait",3,2022,1,60.6666666666667,0.314,0.074,7.96,3.014,23818.3333333333,13.7833333333333,9.67,NA,0.232,NA,12.1236914296832,0.083,0.104
"26","Carquinez Strait",4,2016,1,59,0.28504245,0.09300648,7.95,1.97,15729,16.76,8.61,NA,NA,NA,7.8501559336913,0.0727889,NA
"27","Carquinez Strait",4,2017,1,30.75,0.22200432,0.06218609,7.71,3.824,3841,14.6785714285714,9.588,NA,0.3,NA,1.47804072040059,0.0540415466666667,0.065
"28","Carquinez Strait",4,2018,1,23,0.327336983333333,0.0849974933333333,7.895,7.986,5969.25,15.07,9.272,NA,0.6,NA,2.0593167278214,0.05889414,0.155
"29","Carquinez Strait",4,2019,1,44.5,0.183348326666667,0.0586476533333333,7.745,3.6475,2412.75,16.6,9.2325,NA,0.3,NA,1.08564913926,0.0547170866666667,0.55
"30","Carquinez Strait",4,2021,1,81.25,0.356,0.1685,8.02,2.335,22473,15.095,8.75,NA,0.315,NA,13.819599492435,0.093,0.0785
"31","Carquinez Strait",4,2022,1,41.25,0.302,0.101,7.915,3.29,23256,16.0414285714286,8.646,NA,0.298,NA,13.3246695724688,0.0925,0.1195
"32","Carquinez Strait",5,2016,1,56.75,0.30002994,0.08796396,7.88,1.37333333333333,20762.75,18.48,8.125,NA,NA,NA,12.1315690344404,0.08796616,NA
"33","Carquinez Strait",5,2017,1,37.5,0.19,0.09,7.735,2.62,6684,18.115,8.515,NA,0.25,NA,3.73944089570386,0.055,0.08
"34","Carquinez Strait",5,2018,1,49.75,0.304023656666667,0.0700116666666667,7.82,3.316,18151.5,17.3271428571429,8.86,NA,0.35,NA,7.75237830643591,0.0866525666666667,0.08
"35","Carquinez Strait",5,2019,1,32,0.167018493333333,0.0850074966666667,7.895,3.04,10749.6666666667,17.2628571428571,8.718,NA,0.1925,NA,6.15147684412286,0.0682393733333333,0.0875
"36","Carquinez Strait",5,2021,1,88,0.37,0.103,7.975,2.73,28905.5,17.7175,8.035,NA,0.2085,NA,17.8408830405318,0.095,0.094
"37","Carquinez Strait",5,2022,1,29.5,0.288,0.084,7.865,3.538,27374,17.3985714285714,8.344,NA,0.254,NA,16.4021764872858,0.096,0.1335
"38","Carquinez Strait",6,2008,1,50.3333333333333,0.54655314,0.0924462,NA,2.952,22690,19.6288888888889,7.65,14.5,NA,NA,14.1309089298025,0.08239084,NA
"39","Carquinez Strait",6,2009,1,42,0.39177579,0.05434716,7.9,2.83333333333333,20855.3333333333,19.4522222222222,7.65,11.5,NA,NA,12.3662191738253,0.06008956,NA
"40","Carquinez Strait",6,2010,1,47.6666666666667,0.32846415,0.08796396,7.94,3.018,12337,20.0283333333333,8.1,16.2,NA,NA,5.34504432846756,0.07960318,NA
"41","Carquinez Strait",6,2011,1,34.8333333333333,0.22495242,0.06205101,7.865,3.678,3254.66666666667,18.7488888888889,8.975,50.375,NA,NA,2.03360208590861,0.04831944,NA
"42","Carquinez Strait",6,2012,1,30.6666666666667,0.45214596,0.06611304,7.88,3,26488.8333333333,19.4066666666667,7.31,52.6,NA,NA,15.3776690339959,0.09416096,NA
"43","Carquinez Strait",6,2014,1,44.8333333333333,0.5126562,0.0784392,8,2.25,31255.5,19.585,7.8,41.7,NA,NA,20.2771924670367,0.1177012,NA
"44","Carquinez Strait",6,2016,1,29.8,0.32005995,0.06905451,7.91,3.1,24400.2,19.865,7.964,62.3,NA,NA,15.2580200419034,0.08734668,NA
"45","Carquinez Strait",6,2017,1,37.5,0.248662646666667,0.07087043,7.705,2.08,9336.5,20.8188888888889,7.838,152.75,0.3,NA,5.99858954508231,0.0661802866666667,0.075
"46","Carquinez Strait",6,2018,1,34.6666666666667,0.396651626666667,0.0710205033333333,7.83,2.552,20995,19.1744444444444,8.03,71.35,0.3,NA,12.5918250313746,0.110340006666667,0.115
"47","Carquinez Strait",6,2019,1,37,0.20698131,0.0540211733333333,7.715,4.314,9838,19.7177777777778,8.406,63.5,0.2,NA,3.87492513561613,0.0635902466666667,0.088
"48","Carquinez Strait",6,2020,1.25,57.4,0.353,0.07,7.9,1.63,24276.8,20.352,7.61,12.75,0.2725,NA,14.7541369911009,0.0945,0.1
"49","Carquinez Strait",6,2021,1,52.8333333333333,0.3905,0.085,8.065,3.015,25625.6666666667,18.775,7.98,31.6,0.2885,NA,15.916437803604,0.1005,0.1215
"50","Carquinez Strait",6,2022,1,52.4285714285714,0.265,0.065,7.975,4.205,27121.5714285714,20.3828571428571,7.595,30.4,0.31,NA,16.6688103090663,0.104,0.121
"51","Carquinez Strait",7,2008,1,41.5,0.5196597,0.04804401,NA,2.416,27841.1666666667,20.36,7.65,14.5,NA,NA,17.4430759998727,0.08579798,NA
"52","Carquinez Strait",7,2009,1,50.4,0.31249617,0.05546772,8.095,3.43333333333333,25842,20.33625,7.65,15,NA,NA,16.3631251870061,0.07340838,NA
"53","Carquinez Strait",7,2010,1,34.6666666666667,0.41824902,0.08320158,8.05,2.4,17678.6666666667,19.0788888888889,7.675,70.88,NA,NA,10.759154342208,0.09787784,NA
"54","Carquinez Strait",7,2011,1,35.4,0.22565277,0.05966982,7.75,2.274,10003,20.10625,7.8,49.075,NA,NA,6.57888837839279,0.0665941,NA
"55","Carquinez Strait",7,2012,1.5,53,0.45816897,0.06009003,7.885,2.33333333333333,24556.8,19.8675,7.475,22.05,NA,NA,14.9174078192829,0.1006655,NA
"56","Carquinez Strait",7,2013,1,38.4,0.55649811,0.07171584,7.935,2.95,27399.4,20.1371428571429,7.6,94.1,NA,NA,16.4221265314391,0.15208234,NA
"57","Carquinez Strait",7,2014,1,43.4,0.5546772,0.0784392,7.8,2.9,32919.8,20.1628571428571,7.475,31.45,NA,NA,19.6799521516036,0.1331882,NA
"58","Carquinez Strait",7,2015,1,30,0.46055016,0.06359178,NA,3.5,26365.6666666667,21.405,7.5,69.95,NA,NA,17.0558816993778,0.11646224,NA
"59","Carquinez Strait",7,2017,1,22.8,0.259689826666667,0.0993396633333333,7.735,3.174,20855.2,20.4625,7.77,134,0.3,NA,11.8811105887599,0.0851921866666667,0.14
"60","Carquinez Strait",7,2018,1,35,0.40765046,0.0676771666666667,7.875,2.328,25968.75,20.38,7.748,147.5,0.25,NA,15.6141453685228,0.106991746666667,0.115
"61","Carquinez Strait",7,2019,1,50.6,0.262681486666667,0.0773308266666667,7.755,2.21,17586.2,20.32375,8.03,14.2,0.192,NA,9.37459523431911,0.0856553866666667,0.101
"62","Carquinez Strait",7,2020,1,65.25,0.3025,0.0665,7.92,1.85,27597.75,20.3325,7.77,7.95,0.1805,NA,16.9790088534196,0.1025,0.1235
"63","Carquinez Strait",7,2021,1,58.2,0.288,0.086,8.04,3,30487.4,19.562,7.86,40,0.203,NA,18.9425249898386,0.112,0.1215
"64","Carquinez Strait",7,2022,1,48,0.2225,0.1135,7.965,2.025,30756.25,19.8475,7.8,38,0.337,NA,19.1099025808394,0.111,0.132
"65","Carquinez Strait",8,2008,1,62.6666666666667,0.46811394,0.08796396,NA,2.0075,29880.6666666667,20.2666666666667,7.55,17,NA,NA,17.5423294766484,0.08177136,NA
"66","Carquinez Strait",8,2009,1,40,0.3417708,0.070035,7.995,3.53333333333333,27550.25,19.8157142857143,7.15,15.5,NA,NA,17.3869059630927,0.07960318,NA
"67","Carquinez Strait",8,2010,1,46.75,0.40536258,0.09874935,8.19,2.63333333333333,22296.5,19.2042857142857,7.95,29.825,NA,NA,14.2001564225599,0.10190446,NA
"68","Carquinez Strait",8,2011,1,44.75,0.31991988,0.07731864,7.945,2.33333333333333,20405.25,20.1957142857143,7.75,29.65,NA,NA,11.0014335020525,0.07650578,NA
"69","Carquinez Strait",8,2012,1.5,60.5,0.40354167,0.06849423,7.925,2.46666666666667,25823.75,20.0728571428571,7.45,18.55,NA,NA,13.2618832868021,0.09725836,NA
"70","Carquinez Strait",8,2013,1,47.25,0.39863922,0.09174585,7.93,1.95,28347,20.4366666666667,7.775,49.2,NA,NA,17.9750918629568,0.1161525,NA
"71","Carquinez Strait",8,2014,1,51.5,0.53198586,0.0630315,7.9,2.3,34341.25,20.7033333333333,7.225,34,NA,NA,20.2620372443035,0.13597586,NA
"72","Carquinez Strait",8,2015,1,54.6666666666667,0.46489233,0.02185092,7.9,2.66666666666667,31853,21.15,7.13333333333333,42.9,NA,NA,18.3053672799234,0.12575444,NA
"73","Carquinez Strait",8,2016,1,56.5,0.33406695,0.08796396,7.895,1.73333333333333,25490.25,19.5057142857143,7.958,52.7,NA,NA,15.7827952204766,0.10902848,NA
"74","Carquinez Strait",8,2017,1,33.25,0.32169082,0.0879856533333333,8.18,2.496,21180,20.1685714285714,7.832,68.3,0.25,NA,12.2362541645376,0.09038396,0.115
"75","Carquinez Strait",8,2018,1,38.5,0.369357983333333,0.0813473333333333,7.86,2.364,24301.25,20.0528571428571,7.746,52.05,0.3,NA,14.8777912505437,0.112033086666667,0.135
"76","Carquinez Strait",8,2019,1,53.5,0.19698481,0.0481068833333333,7.75,3.826,19710.5,21.3685714285714,7.736,13.4,0.27,NA,11.7584163245988,0.08389132,0.0915
"77","Carquinez Strait",8,2020,1.33333333333333,85,0.2285,0.0615,7.89,1.62,31177.75,21.5075,7.14,10.75,0.3,NA,19.4001232540291,0.1,0.109
"78","Carquinez Strait",8,2021,1,38,0.2315,0.076,7.925,2.79,29739,19.79,7.355,39.6,0.3315,NA,18.4361557444818,0.1155,0.1225
"79","Carquinez Strait",8,2022,1,66,0.2595,0.06,8.125,15.6,30896.5,21.6875,7.86,21.5,0.3045,NA,19.2009514661155,0.107,0.136
"80","Carquinez Strait",9,2007,1,70.7,0.34107045,0.08054025,NA,2.63333333333333,28023.3,21.0738461538462,8.85,9.55,NA,NA,17.7425792033957,0.07929344,NA
"81","Carquinez Strait",9,2008,1,85.3,0.44612295,0.10267131,NA,1.976,30618.2,20.1046153846154,7.15,17.5,NA,NA,19.0449882016668,0.0820811,NA
"82","Carquinez Strait",9,2009,1,100.1,0.33126555,0.08586291,7.785,2.93333333333333,30211.2,20.6015384615385,7.1,9.941,NA,NA,18.1981095557748,0.08424928,NA
"83","Carquinez Strait",9,2010,1,53.4,0.33014499,0.06947472,7.955,4.13333333333333,27568.4,19.6461538461538,7.15,22.65,NA,NA,17.0310340580544,0.09323174,NA
"84","Carquinez Strait",9,2011,1,45.8,0.29946966,0.0546273,7.955,5.6,16670.9,20.09,7.7,40.72,NA,NA,9.95637939722071,0.07836422,NA
"85","Carquinez Strait",9,2012,1,73.4,0.39905943,0.05630814,7.935,2.1,28439.9,18.9669230769231,7.675,13.625,NA,NA,18.0412021642107,0.1053116,NA
"86","Carquinez Strait",9,2013,1,46.5,0.38407194,0.08362179,8.1,2.75,27764.3,20.6566666666667,7.95,46.55,NA,NA,17.3639784539479,0.12017912,NA
"87","Carquinez Strait",9,2014,1,66.2,0.46307142,0.06205101,8,2.25,33999.2,20.8691666666667,6.875,33.975,NA,NA,21.0385896255837,0.12792262,NA
"88","Carquinez Strait",9,2015,1,69.2,0.20702346,0.03403701,7.905,1.5,33495.9,21.2415384615385,7.15,19.7,NA,NA,21.4848438585668,0.06101878,NA
"89","Carquinez Strait",9,2016,1,81,0.35801892,0.06695346,7.855,2.4,26744.8,19.8481818181818,7.91333333333333,8.525,NA,NA,16.3937665248722,0.10407264,NA
"90","Carquinez Strait",9,2017,1,58.7,0.333353316666667,0.0900033266666667,7.815,1.98,21287.8,21.4676923076923,7.886,17.9,0.25,NA,12.128213554533,0.09598872,0.115
"91","Carquinez Strait",9,2018,1,53.3,0.353671806666667,0.09198265,7.825,2.292,28588.8,19.0353846153846,7.936,21.95,0.3,NA,17.701365132829,0.10767616,0.113
"92","Carquinez Strait",9,2019,1.1,55,0.274680816666667,0.0819921566666667,7.645,1.98,20176,21.3930769230769,7.916,14.725,0.25,NA,11.1772324940445,0.1006082,0.126
"93","Carquinez Strait",9,2020,1,86.2,0.257,0.097,7.835,1.04,27668.6,19.541,7.31,13.4625,0.25,NA,17.0155165114091,0.1035,0.1175
"94","Carquinez Strait",9,2021,1,79.6,0.20999598,0.04964532,7.91,2.9325,29166.1,19.4323076923077,7.672,11.6375,0.2575,NA,18.6282086314137,0.100965126666667,0.1175
"95","Carquinez Strait",9,2022,1,81.9,0.2075,0.0635,7.795,2.66,32391.1,21.752,7.21,10.53625,0.234,NA,20.2246007853312,0.115,0.132
"96","Carquinez Strait",10,2007,1,74.9,0.35507745,0.07745871,NA,3.1,28334.6,18.2030769230769,7.95,15.05,NA,NA,18.2670884101875,0.0681428,NA
"97","Carquinez Strait",10,2008,1,97,0.34373178,0.09076536,NA,2.128,26918.8,19.14,7.6,12,NA,NA,18.2466138189877,0.07836422,NA
"98","Carquinez Strait",10,2009,1,81.625,0.37916949,0.13250622,8.15,2.5,30595.6,16.5223076923077,7.55,10.782,NA,NA,18.037458905255,0.07712526,NA
"99","Carquinez Strait",10,2010,1,68.6,0.35745864,0.10687341,7.915,1.16666666666667,26960.9,18.3869230769231,7.1,13.655,NA,NA,17.2881641139571,0.0960194,NA
"100","Carquinez Strait",10,2011,1,68.3,0.2731365,0.0910455,8.035,2.6,18293.3,19.04,7.9,16.125,NA,NA,10.6576006812273,0.0681428,NA
"101","Carquinez Strait",10,2012,1,73,0.37776879,0.03893946,7.935,0.833333333333333,28531.8,18.5438461538462,7.75,12.0625,NA,NA,17.7208814409586,0.10004602,NA
"102","Carquinez Strait",10,2013,1,65.8,0.40003992,0.08572284,7.83,2.86666666666667,29788,17.8692307692308,7.475,17.5625,NA,NA,19.1882629551871,0.09694862,NA
"103","Carquinez Strait",10,2014,1,74.4,0.39401691,0.05700849,8.05,2.6,33195.8,20.9958333333333,6.7,13.8,NA,NA,21.0126823497481,0.11491354,NA
"104","Carquinez Strait",10,2015,1,85.9,0.42497238,0.0490245,8,2.86666666666667,32536,19.8469230769231,7.36666666666667,11.9125,NA,NA,20.1344157802047,0.11088692,NA
"105","Carquinez Strait",10,2016,1,73,0.34107045,0.09496746,7.825,1.55,28974.4,17.7383333333333,7.825,9.2375,NA,NA,17.8701067990285,0.0975681,NA
"106","Carquinez Strait",10,2017,1,65.2,0.31702182,0.109994986666667,7.825,1.588,26470.9333333333,17.6844444444444,7.936,17.2153846153846,0.25,NA,16.4120290301439,0.0877733533333333,0.09
"107","Carquinez Strait",10,2018,1,86.4444444444444,0.326323133333333,0.101338993333333,7.85,3.03,30309.6111111111,18.0804761904762,7.944,10.43125,0.3,NA,19.0158092175711,0.0969504066666667,0.104
"108","Carquinez Strait",10,2019,1,89.9,3.75467731666667,0.160320153333333,7.88,1.834,23387.4,18.4876923076923,8.088,10.3,0.18,NA,14.0912296660559,0.0835579866666667,0.092
"109","Carquinez Strait",10,2020,1,114.1,0.28,0.055,7.985,1.315,32404.8,19.906,7.38,5.3875,0.237,NA,20.2295582658687,0.1045,0.115
"110","Carquinez Strait",10,2021,1,86.1,0.180313303333333,0.0876688266666667,7.845,2.464,31717.5,18.19,7.898,9.3625,0.3415,NA,18.3890122022667,0.0992188066666667,0.1235
"111","Carquinez Strait",10,2022,1,87.3,0.246,0.102,7.995,2.26,35214.2,19.297,7.62,14.65,0.164,NA,22.1852641095349,0.113,0.1275
"112","Carquinez Strait",11,2007,1,76.6,0.41292636,0.1078539,NA,2.8,31859,15.4953846153846,8,18.5,NA,NA,19.7181028646589,0.0681428,NA
"113","Carquinez Strait",11,2008,1,70.2,0.49626801,0.13348671,NA,2.2,31461,15.5661538461538,7.75,10.5,NA,NA,19.2077560100715,0.09725836,NA
"114","Carquinez Strait",11,2009,1,87.1,0.42217098,0.14077035,7.95,2.4,32026.9,15.6553846153846,7.65,10.791,NA,NA,19.3516363921654,0.07464734,NA
"115","Carquinez Strait",11,2011,1.125,66.4,0.28700343,0.11163579,7.94,2.43333333333333,24234.6,14.2676923076923,8.2,14.2375,NA,NA,15.1346537480847,0.0727889,NA
"116","Carquinez Strait",11,2012,1,88.5,0.33434709,0.09748872,7.89,2,29984,17.2616666666667,7.575,9.775,NA,NA,18.4774571397923,0.0851785,NA
"117","Carquinez Strait",11,2013,1,69.6,0.48450213,0.11303649,7.985,1.8,31307.1,14.9146153846154,8.3,13.975,NA,NA,19.5721310226544,0.11119666,NA
"118","Carquinez Strait",11,2014,1,81,0.38505243,0.07899948,8,2,30881,16.5616666666667,8.2,11.775,NA,NA,19.5050093629693,0.11212588,NA
"119","Carquinez Strait",11,2015,1.08333333333333,77.25,0.43407693,0.08502249,7.86,2.1,32466.5,16.255,7.81666666666667,12.67,NA,NA,20.4099922137141,0.1068603,NA
"120","Carquinez Strait",11,2016,1,86.2222222222222,0.36194088,0.1050525,7.8,2.56666666666667,28852.2777777778,15.8047619047619,7.918,8.65625,NA,NA,17.8751914375629,0.09168304,NA
"121","Carquinez Strait",11,2017,1,72,0.37868598,0.153003153333333,7.8,1.2725,28036.9,14.9341666666667,8.1575,14.4625,0.35,NA,17.21031248844,0.0880830933333333,0.09
"122","Carquinez Strait",11,2019,1,88,3.76999163666667,0.151675826666667,7.75,1.618,23732.3,15.0438461538462,8.048,10.75,0.63,NA,15.2900158862583,0.0807733533333333,0.0825
"123","Carquinez Strait",11,2020,1,82.1,0.25,0.106,7.91,0.91,31915.8888888889,15.98,7.815,8.3,0.3,NA,19.903510394287,0.0935,0.126
"124","Carquinez Strait",11,2021,1,71.1,0.305673146666667,0.133022836666667,7.8,3.172,26074.1,16.4976923076923,7.636,17.55,0.2785,NA,16.7068143788402,0.0934902333333333,0.1055
"125","Carquinez Strait",11,2022,1,67.2,0.297,0.1135,7.77,1.67,29213.4,14.412,8.49,19.8125,0.174,NA,18.064075170944,0.093,0.115
"126","Carquinez Strait",12,2007,1,74.3,0.46531254,0.14273133,NA,4,30319.7,11.9892307692308,9.05,19.5,NA,NA,19.2441814341418,0.08393954,NA
"127","Carquinez Strait",12,2008,1,89.125,0.54417195,0.16500246,NA,2.06666666666667,30928.3333333333,12.6991666666667,8.2,15,NA,NA,19.05792786456,0.07712526,NA
"128","Carquinez Strait",12,2009,1,62.5,0.43071525,0.14329161,8.2,1.83333333333333,33982.2,11.4592307692308,8.95,18.544,NA,NA,20.8156116094206,0.07000124,NA
"129","Carquinez Strait",12,2010,1,72.9,0.42413196,0.15351672,7.88,1.96666666666667,25647,11.2138461538462,8.7,13.37,NA,NA,15.5595333512026,0.07340838,NA
"130","Carquinez Strait",12,2011,1,71.2,0.37034508,0.16458225,7.86,NA,25450.7,10.4236363636364,9.075,13.425,NA,NA,15.6986953990985,0.07154994,NA
"131","Carquinez Strait",12,2012,1,52.9,0.45130554,0.14861427,7.82,2.9,18462.3,14.1066666666667,7.925,17.4875,NA,NA,10.5814387269977,0.08393954,NA
"132","Carquinez Strait",12,2013,1,55.8,0.48086031,0.10127061,8,3.25,33878.1,11.5225,9.05,26.3,NA,NA,21.8495784194603,0.1115064,NA
"133","Carquinez Strait",12,2014,1,60.3,0.50999487,0.10995495,7.72,1.03,29990.3,14.3083333333333,8.55,14.475,NA,NA,18.0606702002058,0.10190446,NA
"134","Carquinez Strait",12,2015,1,70.875,0.42399189,0.18405198,7.85,2.3,34696.375,11.3490909090909,8.8,16.7666666666667,NA,NA,20.2742072878222,0.08734668,NA
"135","Carquinez Strait",12,2016,1,64,0.39905943,0.13600797,7.74,2.2,33928,11.986,8.65,NA,NA,NA,21.0917499228601,0.09075382,NA
"136","Carquinez Strait",12,2017,1,66.4,0.400330133333333,0.172341153333333,7.885,1.34,25053,12.5925,8.65,18.4,0.4,NA,15.9746134199955,0.08756686,0.105
"137","Carquinez Strait",12,2018,1,56.4,0.383002136666667,0.147999653333333,7.755,1.426,28677.7,12.2069230769231,8.56,24.7571428571429,0.27,NA,18.4009153388902,0.08373504,0.0975
"138","Carquinez Strait",12,2019,1,68,0.15,0.27,7.82,2.114,25722.2,12.3992307692308,9.028,18.425,0.3,NA,15.0438888190929,0.076,0.037
"139","Carquinez Strait",12,2021,1,68.3,0.353978306666667,0.148676496666667,7.83,1.262,28729.2,13.7161538461538,8.306,15.0375,0.351,NA,18.4518723423064,0.0791095066666667,0.1055
"140","Carquinez Strait",12,2022,1,76.3,0.3095,0.131,7.93,1.565,31311.8,10.703,9.88,12.2142857142857,0.228,NA,19.4887745377473,0.0855,0.0935
"141","Confluence",1,2016,1,36,0.60706338,0.22103046,7.8,1.74,18370,10,9.9,NA,NA,NA,4.02111630473997,0.06318696,NA
"142","Confluence",1,2018,1,24,0.478352473333333,0.182349493333333,7.66,1.2825,10778,10.24,10.0066666666667,NA,0.4,NA,4.08337783876935,0.0686582066666667,0.09
"143","Confluence",1,2019,1,56,0.56,0.170333333333333,7.505,0.976666666666667,6902,9.54,9.935,NA,0.4975,NA,3.8021412038855,0.0763333333333333,0.097
"144","Confluence",1,2020,1,40,0.4966833,0.15934299,7.75,1.71,8156,9.53,10.5266666666667,NA,0.41,NA,2.4602373123645,0.0694192466666667,0.055
"145","Confluence",1,2022,1,29.3333333333333,0.6595,0.0765,7.54333333333333,1.055,1650.66666666667,9.636,10.2,NA,0.565666666666667,NA,0.734004492650929,0.075,0.105333333333333
"146","Confluence",2,2016,1,28,0.53800887,0.12494244,7.6,1.22,245,10.7766666666667,9.43333333333333,NA,NA,NA,0.151930425696869,0.061948,NA
"147","Confluence",2,2017,1,16,0.35,0.06,7.1,5.97,195,11.4,10.61,NA,0.5,NA,0.0917322350221805,0.08,0.12
"148","Confluence",2,2018,1,54,0.5357616,0.1232591225,7.58,3.16,4655.5,12.4025,9.63,NA,0.45,NA,1.4153715265599,0.069922875,0.085
"149","Confluence",2,2019,1,16,0.35000071,0.067986485,7.68,2.19,169,8.93333333333333,10.1933333333333,NA,0.622,NA,0.0730866607102109,0.05865095,0.158
"150","Confluence",2,2020,1,38,0.474395176,0.138798392,7.6,3.52166666666667,6133.5,11.17,10.4075,NA,0.26,NA,1.94286553091668,0.060308172,0.175
"151","Confluence",2,2022,1,52,0.4855,0.0885,7.77,1.67,7358,10.9166666666667,10.27,NA,0.328,NA,1.85613035502656,0.065,0.081
"152","Confluence",3,2016,1,37.7777777777778,0.35605794,0.15001497,7.75,3.04,996.333333333333,13.8618181818182,8.8,NA,NA,NA,0.47239262055813,0.05947008,NA
"153","Confluence",3,2017,1,45.4444444444444,0.254316976666667,0.0450158366666667,7.41,4.15,171,13.8363636363636,10.0633333333333,NA,0.3,NA,0.0783671668993339,0.0437229333333333,0.07
"154","Confluence",3,2018,1,46.8888888888889,0.420401476,0.120210098,7.7,3.61,2378.66666666667,12.9336363636364,9.91666666666667,NA,0.4,NA,1.59985451308362,0.058676352,0.09
"155","Confluence",3,2019,1,37.6666666666667,0.261257615,0.0467521225,7.7,5.18,185.333333333333,12.5690909090909,9.91666666666667,NA,0.3,NA,0.0858063465307105,0.054717035,0.07
"156","Confluence",3,2020,1,49.2,0.013,0.2,7.65,5.14,6184.4,13.602,9.62,NA,0.19,NA,3.43970586234931,0.086,0.14
"157","Confluence",3,2021,1,50.8,0.57,0.137,7.92,4.54,3954,12.88,9.99,NA,0.431,NA,2.13953276568701,0.093,0.114
