LongStationName,ShortStationName,StationNumber,SampleCode,CollectionDate,Analyte,CASReg_Number,Result,RptLimit,Units,Method,Depth,Matrix,SampleType,ParentSample,Description,Notes
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Arsenic,7440-38-2,1.72,1,ug/L,EPA 200.8 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Barium,7440-39-3,39.4,5,ug/L,EPA 200.8 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Barium,7440-39-3,40,5,ug/L,EPA 200.8 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Beryllium,7440-41-7,<1,1,ug/L,EPA 200.8 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Beryllium,7440-41-7,<1,1,ug/L,EPA 200.8 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Boron,7440-42-8,0.16,0.1,mg/L,EPA 200.7 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,Matrix Spike
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Bromide,24959-67-9,<0.1,0.1,mg/L,EPA 300.0 [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Cadmium,7440-43-9,<1,1,ug/L,EPA 200.8 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Cadmium,7440-43-9,<1,1,ug/L,EPA 200.8 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Calcium,7440-70-2,14.9,1,mg/L,EPA 200.7 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,Matrix Spike
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Chloride,16887-00-6,24.1,5,mg/L,EPA 300.0 [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Chlorophyll a,479-61-8,3.44,0.5,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Chromium,7440-47-3,<1,1,ug/L,EPA 200.8 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Chromium,7440-47-3,<1,1,ug/L,EPA 200.8 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Cobalt,7440-48-4,<5,5,ug/L,EPA 200.8 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Cobalt,7440-48-4,<5,5,ug/L,EPA 200.8 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Specific Conductance,0,298,5,uS/cm@25 °C,Std Method 2510-B [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Copper,7440-50-8,3.74,1,ug/L,EPA 200.8 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Copper,7440-50-8,3.67,1,ug/L,EPA 200.8 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Hardness,0,69,1,mg/L as CaCO3,Std Method 2340 B (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Iron,7439-89-6,160,5,ug/L,EPA 200.8 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Iron,7439-89-6,159,5,ug/L,EPA 200.8 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Lead,7439-92-1,<1,1,ug/L,EPA 200.8 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Lead,7439-92-1,<1,1,ug/L,EPA 200.8 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Lithium,7439-93-2,<5,5,ug/L,EPA 200.8 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Lithium,7439-93-2,<5,5,ug/L,EPA 200.8 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Magnesium,7439-95-4,7.82,1,mg/L,EPA 200.7 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,Matrix Spike
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Manganese,7439-96-5,30.5,5,ug/L,EPA 200.8 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Manganese,7439-96-5,30.2,5,ug/L,EPA 200.8 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Molybdenum,7439-98-7,<5,5,ug/L,EPA 200.8 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Molybdenum,7439-98-7,<5,5,ug/L,EPA 200.8 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Nickel,7440-02-0,2.63,1,ug/L,EPA 200.8 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Nickel,7440-02-0,2.7,1,ug/L,EPA 200.8 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Nitrate + Nitrite,NO3+NO2,1.16,0.05,mg/L as N,Std Method 4500-NO3-F [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Nitrate + Nitrite,NO3+NO2,1.15,0.05,mg/L as N,Std Method 4500-NO3-F [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Organic Carbon,7440-44-0,9.3,0.5,mg/L as C,Std Method 5310C (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Organic Carbon,7440-44-0,10,0.5,mg/L as C,Std Method 5310C (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,Duplicate
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Total Organic Carbon,7440-44-0,9.6,0.5,mg/L as C,Std Method 5310C (T) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,Duplicate
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Total Organic Carbon,7440-44-0,8.9,0.5,mg/L as C,Std Method 5310C (T) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved ortho-Phosphate,14265-44-2,0.227,0.05,mg/L as P,EPA 365.1 [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved ortho-Phosphate,14265-44-2,0.229,0.05,mg/L as P,EPA 365.1 [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Pheophytin a,0,2.76,0.5,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Total Phosphorus,7723-14-0,0.331,0.01,mg/L as P,EPA 365.4 [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Potassium,7440-09-7,4.8,0.5,mg/L,EPA 200.7 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,Matrix Spike
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Selenium,7782-49-2,<1,1,ug/L,EPA 200.8 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Selenium,7782-49-2,<1,1,ug/L,EPA 200.8 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Silica (SiO2),14808-60-7,16,0.1,mg/L,EPA 200.7 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,Matrix Spike
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Silver,7440-22-4,<1,1,ug/L,EPA 200.8 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Silver,7440-22-4,<1,1,ug/L,EPA 200.8 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Sodium,7440-23-5,24.1,1,mg/L,EPA 200.7 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,Matrix Spike
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Total Dissolved Solids,0,183,2.5,mg/L,Std Method 2540 C [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Total Suspended Solids,0,36,2.5,mg/L,Std Method 2540 D [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Volatile Suspended Solids,0,6.5,2.5,mg/L,Std Method 2540 E [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Strontium,7440-24-6,187,5,ug/L,EPA 200.8 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Strontium,7440-24-6,188,5,ug/L,EPA 200.8 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Sulfate,14808-79-8,29,5,mg/L,EPA 300.0 [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Thallium,7440-28-0,<1,1,ug/L,EPA 200.8 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Thallium,7440-28-0,<1,1,ug/L,EPA 200.8 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Total Kjeldahl Nitrogen,TKN,1.41,0.1,mg/L as N,EPA 351.2 [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Vanadium,7440-62-2,<5,5,ug/L,EPA 200.8 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Vanadium,7440-62-2,<5,5,ug/L,EPA 200.8 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Zinc,7440-66-6,<5,5,ug/L,EPA 200.8 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Zinc,7440-66-6,<5,5,ug/L,EPA 200.8 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Field Specific Conductance,0, 297,,uS/cm@25 °C,EPA 120.1 (Field) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Field Dissolved Oxygen,0, 7.89,,mg/L,EPA 360.1 (Field) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Field pH,0, 6.72,,pH Units,EPA 150.1 (Field) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Field Water Temperature,0, 9.9,,°C,EPA 170.1 (Field) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Field Turbidity,0, 28.3,,N.T.U.,EPA 180.1 (Field) [D-2]*,1 Meters,"Water, Natural",Normal Sample,0,,
Middle River @ Union Point - P10A,MR@UnionPt/P10A,B9D75351292,C0123B0004,01/04/2023 15:20,Total Alkalinity,471-34-1,54.9,20,mg/L as CaCO3,Std Method 2320 B [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
Middle River @ Union Point - P10A,MR@UnionPt/P10A,B9D75351292,C0123B0004,01/04/2023 15:20,Total Alkalinity,471-34-1,55.8,20,mg/L as CaCO3,Std Method 2320 B [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
Middle River @ Union Point - P10A,MR@UnionPt/P10A,B9D75351292,C0123B0004,01/04/2023 15:20,Dissolved Ammonia,7664-41-7,0.153,0.05,mg/L as N,EPA 350.1 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
Middle River @ Union Point - P10A,MR@UnionPt/P10A,B9D75351292,C0123B0004,01/04/2023 15:20,Dissolved Boron,7440-42-8,0.1,0.1,mg/L,EPA 200.7 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,Duplicate
Middle River @ Union Point - P10A,MR@UnionPt/P10A,B9D75351292,C0123B0004,01/04/2023 15:20,Dissolved Boron,7440-42-8,<0.1,0.1,mg/L,EPA 200.7 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
Middle River @ Union Point - P10A,MR@UnionPt/P10A,B9D75351292,C0123B0004,01/04/2023 15:20,Dissolved Bromide,24959-67-9,0.182,0.1,mg/L,EPA 300.0 [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
Middle River @ Union Point - P10A,MR@UnionPt/P10A,B9D75351292,C0123B0004,01/04/2023 15:20,Dissolved Calcium,7440-70-2,18.2,1,mg/L,EPA 200.7 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
Middle River @ Union Point - P10A,MR@UnionPt/P10A,B9D75351292,C0123B0004,01/04/2023 15:20,Dissolved Calcium,7440-70-2,17.9,1,mg/L,EPA 200.7 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,Duplicate
Middle River @ Union Point - P10A,MR@UnionPt/P10A,B9D75351292,C0123B0004,01/04/2023 15:20,Dissolved Chloride,16887-00-6,57,7.5,mg/L,EPA 300.0 [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
Middle River @ Union Point - P10A,MR@UnionPt/P10A,B9D75351292,C0123B0004,01/04/2023 15:20,Chlorophyll a,479-61-8,0.96,0.5,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
Middle River @ Union Point - P10A,MR@UnionPt/P10A,B9D75351292,C0123B0004,01/04/2023 15:20,Specific Conductance,0,413,5,uS/cm@25 °C,Std Method 2510-B [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
Middle River @ Union Point - P10A,MR@UnionPt/P10A,B9D75351292,C0123B0004,01/04/2023 15:20,Specific Conductance,0,413,5,uS/cm@25 °C,Std Method 2510-B [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
Middle River @ Union Point - P10A,MR@UnionPt/P10A,B9D75351292,C0123B0004,01/04/2023 15:20,Dissolved Hardness,0,85,1,mg/L as CaCO3,Std Method 2340 B (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
Middle River @ Union Point - P10A,MR@UnionPt/P10A,B9D75351292,C0123B0004,01/04/2023 15:20,Dissolved Magnesium,7439-95-4,9.77,1,mg/L,EPA 200.7 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,Duplicate
Middle River @ Union Point - P10A,MR@UnionPt/P10A,B9D75351292,C0123B0004,01/04/2023 15:20,Dissolved Magnesium,7439-95-4,9.89,1,mg/L,EPA 200.7 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
Middle River @ Union Point - P10A,MR@UnionPt/P10A,B9D75351292,C0123B0004,01/04/2023 15:20,Dissolved Nitrate + Nitrite,NO3+NO2,1.8,0.05,mg/L as N,Std Method 4500-NO3-F [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
Middle River @ Union Point - P10A,MR@UnionPt/P10A,B9D75351292,C0123B0004,01/04/2023 15:20,Dissolved Organic Carbon,7440-44-0,7.1,0.5,mg/L as C,Std Method 5310C (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,Matrix Spike
Middle River @ Union Point - P10A,MR@UnionPt/P10A,B9D75351292,C0123B0004,01/04/2023 15:20,Total Organic Carbon,7440-44-0,7.5,0.5,mg/L as C,Std Method 5310C (T) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,Matrix Spike
Middle River @ Union Point - P10A,MR@UnionPt/P10A,B9D75351292,C0123B0004,01/04/2023 15:20,Dissolved ortho-Phosphate,14265-44-2,0.113,0.05,mg/L as P,EPA 365.1 [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
Middle River @ Union Point - P10A,MR@UnionPt/P10A,B9D75351292,C0123B0004,01/04/2023 15:20,pH,0,7.46,0.1,pH Units,Std Method 2320 B [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
Middle River @ Union Point - P10A,MR@UnionPt/P10A,B9D75351292,C0123B0004,01/04/2023 15:20,Pheophytin a,0,1.24,0.5,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
Middle River @ Union Point - P10A,MR@UnionPt/P10A,B9D75351292,C0123B0004,01/04/2023 15:20,Total Phosphorus,7723-14-0,0.167,0.01,mg/L as P,EPA 365.4 [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
Middle River @ Union Point - P10A,MR@UnionPt/P10A,B9D75351292,C0123B0004,01/04/2023 15:20,Dissolved Potassium,7440-09-7,4.36,0.5,mg/L,EPA 200.7 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
Middle River @ Union Point - P10A,MR@UnionPt/P10A,B9D75351292,C0123B0004,01/04/2023 15:20,Dissolved Potassium,7440-09-7,4.34,0.5,mg/L,EPA 200.7 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,Duplicate
Middle River @ Union Point - P10A,MR@UnionPt/P10A,B9D75351292,C0123B0004,01/04/2023 15:20,Dissolved Silica (SiO2),14808-60-7,14.1,0.1,mg/L,EPA 200.7 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,Duplicate
Middle River @ Union Point - P10A,MR@UnionPt/P10A,B9D75351292,C0123B0004,01/04/2023 15:20,Dissolved Silica (SiO2),14808-60-7,14.4,0.1,mg/L,EPA 200.7 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
Middle River @ Union Point - P10A,MR@UnionPt/P10A,B9D75351292,C0123B0004,01/04/2023 15:20,Dissolved Sodium,7440-23-5,37.3,1,mg/L,EPA 200.7 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,Duplicate
Middle River @ Union Point - P10A,MR@UnionPt/P10A,B9D75351292,C0123B0004,01/04/2023 15:20,Dissolved Sodium,7440-23-5,37.8,1,mg/L,EPA 200.7 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
Middle River @ Union Point - P10A,MR@UnionPt/P10A,B9D75351292,C0123B0004,01/04/2023 15:20,Total Dissolved Solids,0,238,2.5,mg/L,Std Method 2540 C [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
Middle River @ Union Point - P10A,MR@UnionPt/P10A,B9D75351292,C0123B0004,01/04/2023 15:20,Total Suspended Solids,0,17.3,2.5,mg/L,Std Method 2540 D [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
Middle River @ Union Point - P10A,MR@UnionPt/P10A,B9D75351292,C0123B0004,01/04/2023 15:20,Volatile Suspended Solids,0,4.1,2.5,mg/L,Std Method 2540 E [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
Middle River @ Union Point - P10A,MR@UnionPt/P10A,B9D75351292,C0123B0004,01/04/2023 15:20,Dissolved Sulfate,14808-79-8,28.5,7.5,mg/L,EPA 300.0 [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
Middle River @ Union Point - P10A,MR@UnionPt/P10A,B9D75351292,C0123B0004,01/04/2023 15:20,Total Kjeldahl Nitrogen,TKN,0.949,0.1,mg/L as N,EPA 351.2 [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
